Solución Final Output_Unipista/resultados_airland11_SEED4096.txt:
Seed utilizada: 4996
Cantidad de Restarts: 20
Costo Total (Penalidad): 22633.44

--- ORDEN Y TIEMPOS DE ATERRIZAJE (PISTA ÚNICA) ---
Orden  1 | Avión:  2 | T. Objetivo: 1073.00 | T. Real: 1073.00 | Desvío:   0.00s | Penalidad: 0.00
Orden  2 | Avión:  0 | T. Objetivo: 1154.00 | T. Real: 1208.00 | Desvío:  54.00s | Penalidad: 65.88
Orden  3 | Avión:  7 | T. Objetivo: 1323.00 | T. Real: 1323.00 | Desvío:   0.00s | Penalidad: 0.00
Orden  4 | Avión:  3 | T. Objetivo: 1417.00 | T. Real: 1417.00 | Desvío:   0.00s | Penalidad: 0.00
Orden  5 | Avión:  5 | T. Objetivo: 1442.00 | T. Real: 1485.00 | Desvío:  43.00s | Penalidad: 84.71
Orden  6 | Avión: 10 | T. Objetivo: 1471.00 | T. Real: 1553.00 | Desvío:  82.00s | Penalidad: 162.36
Orden  7 | Avión:  9 | T. Objetivo: 1456.00 | T. Real: 1621.00 | Desvío: 165.00s | Penalidad: 206.25
Orden  8 | Avión:  1 | T. Objetivo: 1359.00 | T. Real: 1689.00 | Desvío: 330.00s | Penalidad: 597.30
Orden  9 | Avión:  8 | T. Objetivo: 1605.00 | T. Real: 1779.00 | Desvío: 174.00s | Penalidad: 311.46
Orden 10 | Avión: 11 | T. Objetivo: 1762.00 | T. Real: 1892.00 | Desvío: 130.00s | Penalidad: 232.70
Orden 11 | Avión: 12 | T. Objetivo: 1907.00 | T. Real: 1960.00 | Desvío:  53.00s | Penalidad: 90.63
Orden 12 | Avión:  6 | T. Objetivo: 1523.00 | T. Real: 2028.00 | Desvío: 505.00s | Penalidad: 762.55
Orden 13 | Avión: 13 | T. Objetivo: 2139.00 | T. Real: 2139.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 14 | Avión:  4 | T. Objetivo: 1261.00 | T. Real: 2229.00 | Desvío: 968.00s | Penalidad: 1103.52
Orden 15 | Avión: 14 | T. Objetivo: 2582.00 | T. Real: 2582.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 16 | Avión: 18 | T. Objetivo: 2730.00 | T. Real: 2730.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 17 | Avión: 15 | T. Objetivo: 2779.00 | T. Real: 2798.00 | Desvío:  19.00s | Penalidad: 27.17
Orden 18 | Avión: 16 | T. Objetivo: 2768.00 | T. Real: 2866.00 | Desvío:  98.00s | Penalidad: 122.50
Orden 19 | Avión: 22 | T. Objetivo: 2940.00 | T. Real: 2940.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 20 | Avión: 20 | T. Objetivo: 2879.00 | T. Real: 3008.00 | Desvío: 129.00s | Penalidad: 229.62
Orden 21 | Avión: 17 | T. Objetivo: 2776.00 | T. Real: 3098.00 | Desvío: 322.00s | Penalidad: 405.72
Orden 22 | Avión: 21 | T. Objetivo: 3154.00 | T. Real: 3211.00 | Desvío:  57.00s | Penalidad: 111.15
