Solución Final Output_Unipista/resultados_airland7_SEED4096.txt:
Seed utilizada: 4996
Cantidad de Restarts: 10
Costo Total (Penalidad): 3974.00

--- ORDEN Y TIEMPOS DE ATERRIZAJE (PISTA ÚNICA) ---
Orden  1 | Avión:  0 | T. Objetivo:    0.00 | T. Real:    0.00 | Desvío:   0.00s | Penalidad: 0.00
Orden  2 | Avión:  1 | T. Objetivo:  137.00 | T. Real:  137.00 | Desvío:   0.00s | Penalidad: 0.00
Orden  3 | Avión:  2 | T. Objetivo:  271.00 | T. Real:  337.00 | Desvío:  66.00s | Penalidad: 66.00
Orden  4 | Avión:  3 | T. Objetivo:  351.00 | T. Real:  417.00 | Desvío:  66.00s | Penalidad: 66.00
Orden  5 | Avión:  4 | T. Objetivo:  431.00 | T. Real:  497.00 | Desvío:  66.00s | Penalidad: 66.00
Orden  6 | Avión:  5 | T. Objetivo:  503.00 | T. Real:  569.00 | Desvío:  66.00s | Penalidad: 132.00
Orden  7 | Avión:  6 | T. Objetivo:  626.00 | T. Real:  665.00 | Desvío:  39.00s | Penalidad: 78.00
Orden  8 | Avión:  7 | T. Objetivo:  727.00 | T. Real:  761.00 | Desvío:  34.00s | Penalidad: 68.00
Orden  9 | Avión:  8 | T. Objetivo:  895.00 | T. Real:  961.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 10 | Avión:  9 | T. Objetivo:  967.00 | T. Real: 1033.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 11 | Avión: 10 | T. Objetivo: 1167.00 | T. Real: 1233.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 12 | Avión: 11 | T. Objetivo: 1239.00 | T. Real: 1305.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 13 | Avión: 12 | T. Objetivo: 1439.00 | T. Real: 1505.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 14 | Avión: 13 | T. Objetivo: 1519.00 | T. Real: 1585.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 15 | Avión: 14 | T. Objetivo: 1591.00 | T. Real: 1657.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 16 | Avión: 15 | T. Objetivo: 1791.00 | T. Real: 1857.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 17 | Avión: 16 | T. Objetivo: 1871.00 | T. Real: 1937.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 18 | Avión: 17 | T. Objetivo: 1943.00 | T. Real: 2009.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 19 | Avión: 18 | T. Objetivo: 2143.00 | T. Real: 2209.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 20 | Avión: 19 | T. Objetivo: 2223.00 | T. Real: 2289.00 | Desvío:  66.00s | Penalidad: 66.00
Orden 21 | Avión: 20 | T. Objetivo: 2295.00 | T. Real: 2361.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 22 | Avión: 21 | T. Objetivo: 2391.00 | T. Real: 2457.00 | Desvío:  66.00s | Penalidad: 132.00
Orden 23 | Avión: 22 | T. Objetivo: 2591.00 | T. Real: 2657.00 | Desvío:  66.00s | Penalidad: 66.00
