Tipo;Num_Pistas;Configuracion;Instancia;Semilla;Restarts_Reales;Costo_Total;Tiempo
Multipista;2;10Semilla-10Restart;FPT01;1156;10;177222;787,4
Multipista;2;10Semilla-10Restart;FPT01;1412;10;177222;792,2
Multipista;2;10Semilla-10Restart;FPT01;1924;10;177222;744,19
Multipista;2;10Semilla-10Restart;FPT01;2948;10;177222;770,97
Multipista;2;10Semilla-10Restart;FPT01;4996;10;177222;773,19
Multipista;2;10Semilla-10Restart;FPT01;9092;10;177222;812,49
Multipista;2;10Semilla-10Restart;FPT01;17284;10;177222;768,71
Multipista;2;10Semilla-10Restart;FPT01;33668;10;177222;765,03
Multipista;2;10Semilla-10Restart;FPT01;66436;10;177222;795,24
Multipista;2;10Semilla-10Restart;FPT01;131972;10;177222;752,57
Multipista;2;10Semilla-10Restart;FPT02;1156;10;186436;776,27
Multipista;2;10Semilla-10Restart;FPT02;1412;10;186436;789,7
Multipista;2;10Semilla-10Restart;FPT02;1924;10;186436;810,24
Multipista;2;10Semilla-10Restart;FPT02;2948;10;186436;771,25
Multipista;2;10Semilla-10Restart;FPT02;4996;10;186436;827,21
Multipista;2;10Semilla-10Restart;FPT02;9092;10;186436;773,1
Multipista;2;10Semilla-10Restart;FPT02;17284;10;186436;788,06
Multipista;2;10Semilla-10Restart;FPT02;33668;10;186436;814,92
Multipista;2;10Semilla-10Restart;FPT02;66436;10;186436;798,91
Multipista;2;10Semilla-10Restart;FPT02;131972;10;186436;822,69
Multipista;2;10Semilla-10Restart;FPT03;1156;10;190342;727,16
Multipista;2;10Semilla-10Restart;FPT03;1412;10;190342;734,59
Multipista;2;10Semilla-10Restart;FPT03;1924;10;190342;787,11
Multipista;2;10Semilla-10Restart;FPT03;2948;10;190342;761,27
Multipista;2;10Semilla-10Restart;FPT03;4996;10;190342;781,38
Multipista;2;10Semilla-10Restart;FPT03;9092;10;190342;780,77
Multipista;2;10Semilla-10Restart;FPT03;17284;10;190342;769,27
Multipista;2;10Semilla-10Restart;FPT03;33668;10;190342;50552,28
Multipista;2;10Semilla-10Restart;FPT03;66436;10;190342;
Multipista;2;10Semilla-10Restart;FPT03;131972;10;190342;751,43
Multipista;2;10Semilla-10Restart;FPT04;1156;10;194645;711,09
Multipista;2;10Semilla-10Restart;FPT04;1412;10;194645;741,52
Multipista;2;10Semilla-10Restart;FPT04;1924;10;194645;708,06
Multipista;2;10Semilla-10Restart;FPT04;2948;10;194645;748,24
Multipista;2;10Semilla-10Restart;FPT04;4996;10;194645;727,29
Multipista;2;10Semilla-10Restart;FPT04;9092;10;194645;729,66
Multipista;2;10Semilla-10Restart;FPT04;17284;10;194645;722,71
Multipista;2;10Semilla-10Restart;FPT04;33668;10;194645;714,61
Multipista;2;10Semilla-10Restart;FPT04;66436;10;194645;711,74
Multipista;2;10Semilla-10Restart;FPT04;131972;10;194645;689,74
Multipista;2;10Semilla-10Restart;FPT05;1156;10;194365;668,02
Multipista;2;10Semilla-10Restart;FPT05;1412;10;194365;678,75
Multipista;2;10Semilla-10Restart;FPT05;1924;10;194365;689,21
Multipista;2;10Semilla-10Restart;FPT05;2948;10;194365;693,73
Multipista;2;10Semilla-10Restart;FPT05;4996;10;194365;683,3
Multipista;2;10Semilla-10Restart;FPT05;9092;10;194365;697,48
Multipista;2;10Semilla-10Restart;FPT05;17284;10;194365;675,56
Multipista;2;10Semilla-10Restart;FPT05;33668;10;194365;697,46
Multipista;2;10Semilla-10Restart;FPT05;66436;10;194365;705,75
Multipista;2;10Semilla-10Restart;FPT05;131972;10;194365;679,69
Multipista;2;10Semilla-10Restart;FPT06;1156;10;178397;741,43
Multipista;2;10Semilla-10Restart;FPT06;1412;10;178397;752,15
Multipista;2;10Semilla-10Restart;FPT06;1924;10;178397;763,75
Multipista;2;10Semilla-10Restart;FPT06;2948;10;178397;729,67
Multipista;2;10Semilla-10Restart;FPT06;4996;10;178397;50560,17
Multipista;2;10Semilla-10Restart;FPT06;9092;10;178397;
Multipista;2;10Semilla-10Restart;FPT06;17284;10;178397;742,8
Multipista;2;10Semilla-10Restart;FPT06;33668;10;178397;762,67
Multipista;2;10Semilla-10Restart;FPT06;66436;10;178397;725,59
Multipista;2;10Semilla-10Restart;FPT06;131972;10;178397;698,26
Multipista;2;10Semilla-10Restart;FPT07;1156;10;182076;750,52
Multipista;2;10Semilla-10Restart;FPT07;1412;10;182076;797,48
Multipista;2;10Semilla-10Restart;FPT07;1924;10;182076;779,2
Multipista;2;10Semilla-10Restart;FPT07;2948;10;182076;771,25
Multipista;2;10Semilla-10Restart;FPT07;4996;10;182076;778,24
Multipista;2;10Semilla-10Restart;FPT07;9092;10;182076;773,47
Multipista;2;10Semilla-10Restart;FPT07;17284;10;182076;737,91
Multipista;2;10Semilla-10Restart;FPT07;33668;10;182076;50583,42
Multipista;2;10Semilla-10Restart;FPT07;66436;10;182076;
Multipista;2;10Semilla-10Restart;FPT07;131972;10;182076;737,61
Multipista;2;10Semilla-10Restart;FPT08;1156;10;160641;862,76
Multipista;2;10Semilla-10Restart;FPT08;1412;10;160641;827,94
Multipista;2;10Semilla-10Restart;FPT08;1924;10;160641;831,61
Multipista;2;10Semilla-10Restart;FPT08;2948;10;160641;828,68
Multipista;2;10Semilla-10Restart;FPT08;4996;10;160641;886,1
Multipista;2;10Semilla-10Restart;FPT08;9092;10;160641;859,44
Multipista;2;10Semilla-10Restart;FPT08;17284;10;160641;851,9
Multipista;2;10Semilla-10Restart;FPT08;33668;10;160641;812,47
Multipista;2;10Semilla-10Restart;FPT08;66436;10;160641;854,73
Multipista;2;10Semilla-10Restart;FPT08;131972;10;160641;828,04
Multipista;2;10Semilla-10Restart;FPT09;1156;10;179699;781,05
Multipista;2;10Semilla-10Restart;FPT09;1412;10;179699;784,81
Multipista;2;10Semilla-10Restart;FPT09;1924;10;179699;834,93
Multipista;2;10Semilla-10Restart;FPT09;2948;10;179699;772,61
Multipista;2;10Semilla-10Restart;FPT09;4996;10;179699;803,66
Multipista;2;10Semilla-10Restart;FPT09;9092;10;179699;776,61
Multipista;2;10Semilla-10Restart;FPT09;17284;10;179719;755,23
Multipista;2;10Semilla-10Restart;FPT09;33668;10;179719;812,57
Multipista;2;10Semilla-10Restart;FPT09;66436;10;179719;803,76
Multipista;2;10Semilla-10Restart;FPT09;131972;10;179699;785,3
Multipista;2;10Semilla-10Restart;FPT10;1156;10;189005;722,01
Multipista;2;10Semilla-10Restart;FPT10;1412;10;189005;50575,3
Multipista;2;10Semilla-10Restart;FPT10;1924;10;189005;
Multipista;2;10Semilla-10Restart;FPT10;2948;10;189005;752,75
Multipista;2;10Semilla-10Restart;FPT10;4996;10;189005;776,63
Multipista;2;10Semilla-10Restart;FPT10;9092;10;189005;767,29
