Solución Final Output_Unipista/resultados_airland9_SEED4096.txt:
Seed utilizada: 4996
Cantidad de Restarts: 20
Costo Total (Penalidad): 10536.31

--- ORDEN Y TIEMPOS DE ATERRIZAJE (PISTA ÚNICA) ---
Orden  1 | Avión:  0 | T. Objetivo:  908.00 | T. Real:  908.00 | Desvío:   0.00s | Penalidad: 0.00
Orden  2 | Avión:  1 | T. Objetivo: 1027.00 | T. Real: 1027.00 | Desvío:   0.00s | Penalidad: 0.00
Orden  3 | Avión:  5 | T. Objetivo: 1235.00 | T. Real: 1235.00 | Desvío:   0.00s | Penalidad: 0.00
Orden  4 | Avión:  9 | T. Objetivo: 1343.00 | T. Real: 1348.00 | Desvío:   5.00s | Penalidad: 9.40
Orden  5 | Avión:  7 | T. Objetivo: 1401.00 | T. Real: 1416.00 | Desvío:  15.00s | Penalidad: 27.30
Orden  6 | Avión:  2 | T. Objetivo: 1378.00 | T. Real: 1529.00 | Desvío: 151.00s | Penalidad: 279.35
Orden  7 | Avión:  8 | T. Objetivo: 1584.00 | T. Real: 1597.00 | Desvío:  13.00s | Penalidad: 17.29
Orden  8 | Avión:  6 | T. Objetivo: 1520.00 | T. Real: 1665.00 | Desvío: 145.00s | Penalidad: 176.90
Orden  9 | Avión:  3 | T. Objetivo: 1502.00 | T. Real: 1733.00 | Desvío: 231.00s | Penalidad: 293.37
Orden 10 | Avión: 11 | T. Objetivo: 1700.00 | T. Real: 1801.00 | Desvío: 101.00s | Penalidad: 177.76
Orden 11 | Avión:  4 | T. Objetivo: 1618.00 | T. Real: 1891.00 | Desvío: 273.00s | Penalidad: 423.15
Orden 12 | Avión: 10 | T. Objetivo: 1787.00 | T. Real: 1981.00 | Desvío: 194.00s | Penalidad: 223.10
Orden 13 | Avión: 12 | T. Objetivo: 1724.00 | T. Real: 2094.00 | Desvío: 370.00s | Penalidad: 455.10
Orden 14 | Avión: 15 | T. Objetivo: 2003.00 | T. Real: 2162.00 | Desvío: 159.00s | Penalidad: 275.07
Orden 15 | Avión: 13 | T. Objetivo: 1907.00 | T. Real: 2230.00 | Desvío: 323.00s | Penalidad: 555.56
Orden 16 | Avión: 16 | T. Objetivo: 2169.00 | T. Real: 2298.00 | Desvío: 129.00s | Penalidad: 218.01
Orden 17 | Avión: 17 | T. Objetivo: 2215.00 | T. Real: 2388.00 | Desvío: 173.00s | Penalidad: 202.41
Orden 18 | Avión: 14 | T. Objetivo: 2234.00 | T. Real: 2478.00 | Desvío: 244.00s | Penalidad: 248.88
Orden 19 | Avión: 19 | T. Objetivo: 2436.00 | T. Real: 2568.00 | Desvío: 132.00s | Penalidad: 134.64
Orden 20 | Avión: 18 | T. Objetivo: 2781.00 | T. Real: 2781.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 21 | Avión: 23 | T. Objetivo: 2918.00 | T. Real: 2918.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 22 | Avión: 21 | T. Objetivo: 2967.00 | T. Real: 2986.00 | Desvío:  19.00s | Penalidad: 20.71
Orden 23 | Avión: 22 | T. Objetivo: 2971.00 | T. Real: 3054.00 | Desvío:  83.00s | Penalidad: 124.50
Orden 24 | Avión: 20 | T. Objetivo: 3111.00 | T. Real: 3144.00 | Desvío:  33.00s | Penalidad: 42.57
Orden 25 | Avión: 24 | T. Objetivo: 3258.00 | T. Real: 3258.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 26 | Avión: 26 | T. Objetivo: 3468.00 | T. Real: 3468.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 27 | Avión: 29 | T. Objetivo: 3495.00 | T. Real: 3581.00 | Desvío:  86.00s | Penalidad: 123.84
Orden 28 | Avión: 28 | T. Objetivo: 3647.00 | T. Real: 3649.00 | Desvío:   2.00s | Penalidad: 3.56
Orden 29 | Avión: 25 | T. Objetivo: 3728.00 | T. Real: 3728.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 30 | Avión: 27 | T. Objetivo: 3750.00 | T. Real: 3796.00 | Desvío:  46.00s | Penalidad: 50.60
Orden 31 | Avión: 34 | T. Objetivo: 3854.00 | T. Real: 3864.00 | Desvío:  10.00s | Penalidad: 19.90
Orden 32 | Avión: 30 | T. Objetivo: 3579.00 | T. Real: 3932.00 | Desvío: 353.00s | Penalidad: 614.22
Orden 33 | Avión: 33 | T. Objetivo: 3749.00 | T. Real: 4022.00 | Desvío: 273.00s | Penalidad: 414.96
Orden 34 | Avión: 31 | T. Objetivo: 4079.00 | T. Real: 4157.00 | Desvío:  78.00s | Penalidad: 138.84
Orden 35 | Avión: 32 | T. Objetivo: 3764.00 | T. Real: 4225.00 | Desvío: 461.00s | Penalidad: 479.44
Orden 36 | Avión: 35 | T. Objetivo: 4273.00 | T. Real: 4338.00 | Desvío:  65.00s | Penalidad: 120.25
Orden 37 | Avión: 36 | T. Objetivo: 4469.00 | T. Real: 4469.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 38 | Avión: 39 | T. Objetivo: 4695.00 | T. Real: 4695.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 39 | Avión: 37 | T. Objetivo: 4771.00 | T. Real: 4785.00 | Desvío:  14.00s | Penalidad: 18.06
Orden 40 | Avión: 38 | T. Objetivo: 4836.00 | T. Real: 4898.00 | Desvío:  62.00s | Penalidad: 114.08
Orden 41 | Avión: 40 | T. Objetivo: 4829.00 | T. Real: 4966.00 | Desvío: 137.00s | Penalidad: 247.97
Orden 42 | Avión: 43 | T. Objetivo: 5224.00 | T. Real: 5224.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 43 | Avión: 46 | T. Objetivo: 5373.00 | T. Real: 5373.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 44 | Avión: 41 | T. Objetivo: 5400.00 | T. Real: 5441.00 | Desvío:  41.00s | Penalidad: 44.28
Orden 45 | Avión: 45 | T. Objetivo: 5492.00 | T. Real: 5509.00 | Desvío:  17.00s | Penalidad: 22.95
Orden 46 | Avión: 44 | T. Objetivo: 5443.00 | T. Real: 5577.00 | Desvío: 134.00s | Penalidad: 238.52
Orden 47 | Avión: 50 | T. Objetivo: 5636.00 | T. Real: 5645.00 | Desvío:   9.00s | Penalidad: 17.28
Orden 48 | Avión: 49 | T. Objetivo: 5588.00 | T. Real: 5713.00 | Desvío: 125.00s | Penalidad: 193.75
Orden 49 | Avión: 48 | T. Objetivo: 5749.00 | T. Real: 5781.00 | Desvío:  32.00s | Penalidad: 43.84
Orden 50 | Avión: 42 | T. Objetivo: 5536.00 | T. Real: 5849.00 | Desvío: 313.00s | Penalidad: 547.75
Orden 51 | Avión: 47 | T. Objetivo: 5731.00 | T. Real: 5939.00 | Desvío: 208.00s | Penalidad: 249.60
Orden 52 | Avión: 51 | T. Objetivo: 5946.00 | T. Real: 6029.00 | Desvío:  83.00s | Penalidad: 144.42
Orden 53 | Avión: 52 | T. Objetivo: 6145.00 | T. Real: 6145.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 54 | Avión: 53 | T. Objetivo: 6074.00 | T. Real: 6213.00 | Desvío: 139.00s | Penalidad: 191.82
