Solución Final Output_Unipista/resultados_airland12_SEED131072.txt:
Seed utilizada: 131972
Cantidad de Restarts: 20
Costo Total (Penalidad): 28037.29

--- ORDEN Y TIEMPOS DE ATERRIZAJE (PISTA ÚNICA) ---
Orden  1 | Avión:  1 | T. Objetivo:  925.00 | T. Real:  925.00 | Desvío:   0.00s | Penalidad: 0.00
Orden  2 | Avión:  0 | T. Objetivo: 1154.00 | T. Real: 1154.00 | Desvío:   0.00s | Penalidad: 0.00
Orden  3 | Avión:  2 | T. Objetivo: 1274.00 | T. Real: 1274.00 | Desvío:   0.00s | Penalidad: 0.00
Orden  4 | Avión:  3 | T. Objetivo: 1603.00 | T. Real: 1603.00 | Desvío:   0.00s | Penalidad: 0.00
Orden  5 | Avión:  5 | T. Objetivo: 1639.00 | T. Real: 1671.00 | Desvío:  32.00s | Penalidad: 60.16
Orden  6 | Avión:  4 | T. Objetivo: 1718.00 | T. Real: 1784.00 | Desvío:  66.00s | Penalidad: 96.36
Orden  7 | Avión:  7 | T. Objetivo: 1759.00 | T. Real: 1852.00 | Desvío:  93.00s | Penalidad: 94.86
Orden  8 | Avión:  6 | T. Objetivo: 1766.00 | T. Real: 1920.00 | Desvío: 154.00s | Penalidad: 224.84
Orden  9 | Avión:  8 | T. Objetivo: 2475.00 | T. Real: 2475.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 10 | Avión:  9 | T. Objetivo: 2700.00 | T. Real: 2700.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 11 | Avión: 10 | T. Objetivo: 2817.00 | T. Real: 2817.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 12 | Avión: 12 | T. Objetivo: 2995.00 | T. Real: 2995.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 13 | Avión: 13 | T. Objetivo: 3020.00 | T. Real: 3085.00 | Desvío:  65.00s | Penalidad: 122.85
Orden 14 | Avión: 11 | T. Objetivo: 3026.00 | T. Real: 3198.00 | Desvío: 172.00s | Penalidad: 196.08
Orden 15 | Avión: 14 | T. Objetivo: 3190.00 | T. Real: 3266.00 | Desvío:  76.00s | Penalidad: 88.16
Orden 16 | Avión: 17 | T. Objetivo: 3370.00 | T. Real: 3370.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 17 | Avión: 16 | T. Objetivo: 3462.00 | T. Real: 3483.00 | Desvío:  21.00s | Penalidad: 38.43
Orden 18 | Avión: 15 | T. Objetivo: 3503.00 | T. Real: 3551.00 | Desvío:  48.00s | Penalidad: 60.00
Orden 19 | Avión: 21 | T. Objetivo: 3546.00 | T. Real: 3619.00 | Desvío:  73.00s | Penalidad: 83.95
Orden 20 | Avión: 18 | T. Objetivo: 3501.00 | T. Real: 3687.00 | Desvío: 186.00s | Penalidad: 327.36
Orden 21 | Avión: 19 | T. Objetivo: 3903.00 | T. Real: 3903.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 22 | Avión: 20 | T. Objetivo: 3918.00 | T. Real: 3971.00 | Desvío:  53.00s | Penalidad: 69.96
Orden 23 | Avión: 23 | T. Objetivo: 4015.00 | T. Real: 4039.00 | Desvío:  24.00s | Penalidad: 36.72
Orden 24 | Avión: 24 | T. Objetivo: 4217.00 | T. Real: 4217.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 25 | Avión: 22 | T. Objetivo: 4307.00 | T. Real: 4307.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 26 | Avión: 25 | T. Objetivo: 4367.00 | T. Real: 4397.00 | Desvío:  30.00s | Penalidad: 39.30
Orden 27 | Avión: 26 | T. Objetivo: 4396.00 | T. Real: 4510.00 | Desvío: 114.00s | Penalidad: 124.26
Orden 28 | Avión: 27 | T. Objetivo: 4710.00 | T. Real: 4710.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 29 | Avión: 28 | T. Objetivo: 4714.00 | T. Real: 4778.00 | Desvío:  64.00s | Penalidad: 80.64
Orden 30 | Avión: 29 | T. Objetivo: 4943.00 | T. Real: 4943.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 31 | Avión: 32 | T. Objetivo: 5018.00 | T. Real: 5056.00 | Desvío:  38.00s | Penalidad: 66.88
Orden 32 | Avión: 30 | T. Objetivo: 4971.00 | T. Real: 5124.00 | Desvío: 153.00s | Penalidad: 240.21
Orden 33 | Avión: 33 | T. Objetivo: 5164.00 | T. Real: 5192.00 | Desvío:  28.00s | Penalidad: 44.24
Orden 34 | Avión: 31 | T. Objetivo: 5147.00 | T. Real: 5260.00 | Desvío: 113.00s | Penalidad: 213.57
Orden 35 | Avión: 36 | T. Objetivo: 5457.00 | T. Real: 5457.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 36 | Avión: 35 | T. Objetivo: 5564.00 | T. Real: 5564.00 | Desvío:   0.00s | Penalidad: 0.00
