Solución Final Output_Unipista/resultados_airland10_SEED1024.txt:
Seed utilizada: 1924
Cantidad de Restarts: 10
Costo Total (Penalidad): 26256.92

--- ORDEN Y TIEMPOS DE ATERRIZAJE (PISTA ÚNICA) ---
Orden  1 | Avión:  2 | T. Objetivo: 1068.00 | T. Real: 1068.00 | Desvío:   0.00s | Penalidad: 0.00
Orden  2 | Avión:  0 | T. Objetivo: 1157.00 | T. Real: 1157.00 | Desvío:   0.00s | Penalidad: 0.00
Orden  3 | Avión:  1 | T. Objetivo: 1233.00 | T. Real: 1233.00 | Desvío:   0.00s | Penalidad: 0.00
Orden  4 | Avión:  3 | T. Objetivo: 1181.00 | T. Real: 1301.00 | Desvío: 120.00s | Penalidad: 196.80
Orden  5 | Avión:  8 | T. Objetivo: 1276.00 | T. Real: 1369.00 | Desvío:  93.00s | Penalidad: 152.52
Orden  6 | Avión:  5 | T. Objetivo: 1123.00 | T. Real: 1459.00 | Desvío: 336.00s | Penalidad: 540.96
Orden  7 | Avión:  6 | T. Objetivo: 1337.00 | T. Real: 1549.00 | Desvío: 212.00s | Penalidad: 320.12
Orden  8 | Avión:  9 | T. Objetivo: 1549.00 | T. Real: 1662.00 | Desvío: 113.00s | Penalidad: 195.49
Orden  9 | Avión:  4 | T. Objetivo: 1408.00 | T. Real: 1730.00 | Desvío: 322.00s | Penalidad: 615.02
Orden 10 | Avión:  7 | T. Objetivo: 1297.00 | T. Real: 1798.00 | Desvío: 501.00s | Penalidad: 546.09
Orden 11 | Avión: 11 | T. Objetivo: 1706.00 | T. Real: 1866.00 | Desvío: 160.00s | Penalidad: 171.20
Orden 12 | Avión: 12 | T. Objetivo: 1832.00 | T. Real: 1956.00 | Desvío: 124.00s | Penalidad: 124.00
Orden 13 | Avión: 14 | T. Objetivo: 2016.00 | T. Real: 2024.00 | Desvío:   8.00s | Penalidad: 12.40
Orden 14 | Avión: 10 | T. Objetivo: 1742.00 | T. Real: 2092.00 | Desvío: 350.00s | Penalidad: 406.00
Orden 15 | Avión: 15 | T. Objetivo: 2186.00 | T. Real: 2205.00 | Desvío:  19.00s | Penalidad: 32.30
Orden 16 | Avión: 13 | T. Objetivo: 2311.00 | T. Real: 2311.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 17 | Avión: 16 | T. Objetivo: 2274.00 | T. Real: 2379.00 | Desvío: 105.00s | Penalidad: 114.45
Orden 18 | Avión: 18 | T. Objetivo: 2524.00 | T. Real: 2524.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 19 | Avión: 17 | T. Objetivo: 2564.00 | T. Real: 2592.00 | Desvío:  28.00s | Penalidad: 45.92
Orden 20 | Avión: 23 | T. Objetivo: 3069.00 | T. Real: 3069.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 21 | Avión: 19 | T. Objetivo: 3094.00 | T. Real: 3182.00 | Desvío:  88.00s | Penalidad: 168.96
Orden 22 | Avión: 21 | T. Objetivo: 3261.00 | T. Real: 3261.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 23 | Avión: 20 | T. Objetivo: 3268.00 | T. Real: 3329.00 | Desvío:  61.00s | Penalidad: 63.44
Orden 24 | Avión: 25 | T. Objetivo: 3406.00 | T. Real: 3406.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 25 | Avión: 22 | T. Objetivo: 3396.00 | T. Real: 3474.00 | Desvío:  78.00s | Penalidad: 110.76
Orden 26 | Avión: 24 | T. Objetivo: 3536.00 | T. Real: 3564.00 | Desvío:  28.00s | Penalidad: 32.76
Orden 27 | Avión: 27 | T. Objetivo: 3707.00 | T. Real: 3707.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 28 | Avión: 26 | T. Objetivo: 3832.00 | T. Real: 3832.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 29 | Avión: 29 | T. Objetivo: 4161.00 | T. Real: 4161.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 30 | Avión: 28 | T. Objetivo: 4301.00 | T. Real: 4301.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 31 | Avión: 30 | T. Objetivo: 4411.00 | T. Real: 4414.00 | Desvío:   3.00s | Penalidad: 5.91
Orden 32 | Avión: 32 | T. Objetivo: 4410.00 | T. Real: 4482.00 | Desvío:  72.00s | Penalidad: 95.76
Orden 33 | Avión: 31 | T. Objetivo: 4611.00 | T. Real: 4611.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 34 | Avión: 33 | T. Objetivo: 4727.00 | T. Real: 4727.00 | Desvío:   0.00s | Penalidad: 0.00
Orden 35 | Avión: 35 | T. Objetivo: 4843.00 | T. Real: 4862.00 | Desvío:  19.00s | Penalidad: 33.82
Orden 36 | Avión: 34 | T. Objetivo: 4849.00 | T. Real: 4930.00 | Desvío:  81.00s | Penalidad: 119.07
Orden 37 | Avión: 37 | T. Objetivo: 4959.00 | T. Real: 4998.00 | Desvío:  39.00s | Penalidad: 53.43
Orden 38 | Avión: 36 | T. Objetivo: 4804.00 | T. Real: 5088.00 | Desvío: 284.00s | Penalidad: 335.12
Orden 39 | Avión: 38 | T. Objetivo: 5198.00 | T. Real: 5201.00 | Desvío:   3.00s | Penalidad: 5.94
Orden 40 | Avión: 39 | T. Objetivo: 5329.00 | T. Real: 5329.00 | Desvío:   0.00s | Penalidad: 0.00
