Tipo;Num_Pistas;Configuracion;Instancia;Semilla;Restarts_Reales;Costo_Total;Tiempo
Multipista;2;10Semilla-10Restart;FPT01;1156;10;177222.00;787.40
Multipista;2;10Semilla-10Restart;FPT01;1412;10;177222.00;792.20
Multipista;2;10Semilla-10Restart;FPT01;1924;10;177222.00;744.19
Multipista;2;10Semilla-10Restart;FPT01;2948;10;177222.00;770.97
Multipista;2;10Semilla-10Restart;FPT01;4996;10;177222.00;773.19
Multipista;2;10Semilla-10Restart;FPT01;9092;10;177222.00;812.49
Multipista;2;10Semilla-10Restart;FPT01;17284;10;177222.00;768.71
Multipista;2;10Semilla-10Restart;FPT01;33668;10;177222.00;765.03
Multipista;2;10Semilla-10Restart;FPT01;66436;10;177222.00;795.24
Multipista;2;10Semilla-10Restart;FPT01;131972;10;177222.00;752.57
Multipista;2;10Semilla-10Restart;FPT02;1156;10;186436.00;776.27
Multipista;2;10Semilla-10Restart;FPT02;1412;10;186436.00;789.70
Multipista;2;10Semilla-10Restart;FPT02;1924;10;186436.00;810.24
Multipista;2;10Semilla-10Restart;FPT02;2948;10;186436.00;771.25
Multipista;2;10Semilla-10Restart;FPT02;4996;10;186436.00;827.21
Multipista;2;10Semilla-10Restart;FPT02;9092;10;186436.00;773.10
Multipista;2;10Semilla-10Restart;FPT02;17284;10;186436.00;788.06
Multipista;2;10Semilla-10Restart;FPT02;33668;10;186436.00;814.92
Multipista;2;10Semilla-10Restart;FPT02;66436;10;186436.00;798.91
Multipista;2;10Semilla-10Restart;FPT02;131972;10;186436.00;822.69
Multipista;2;10Semilla-10Restart;FPT03;1156;10;190342.00;727.16
Multipista;2;10Semilla-10Restart;FPT03;1412;10;190342.00;734.59
Multipista;2;10Semilla-10Restart;FPT03;1924;10;190342.00;787.11
Multipista;2;10Semilla-10Restart;FPT03;2948;10;190342.00;761.27
Multipista;2;10Semilla-10Restart;FPT03;4996;10;190342.00;781.38
Multipista;2;10Semilla-10Restart;FPT03;9092;10;190342.00;780.77
Multipista;2;10Semilla-10Restart;FPT03;17284;10;190342.00;769.27
Multipista;2;10Semilla-10Restart;FPT03;33668;10;190342.00;50552.28
Multipista;2;10Semilla-10Restart;FPT03;66436;10;190342.00;
Multipista;2;10Semilla-10Restart;FPT03;131972;10;190342.00;751.43
Multipista;2;10Semilla-10Restart;FPT04;1156;10;194645.00;711.09
Multipista;2;10Semilla-10Restart;FPT04;1412;10;194645.00;741.52
Multipista;2;10Semilla-10Restart;FPT04;1924;10;194645.00;708.06
Multipista;2;10Semilla-10Restart;FPT04;2948;10;194645.00;748.24
Multipista;2;10Semilla-10Restart;FPT04;4996;10;194645.00;727.29
Multipista;2;10Semilla-10Restart;FPT04;9092;10;194645.00;729.66
Multipista;2;10Semilla-10Restart;FPT04;17284;10;194645.00;722.71
Multipista;2;10Semilla-10Restart;FPT04;33668;10;194645.00;714.61
Multipista;2;10Semilla-10Restart;FPT04;66436;10;194645.00;711.74
Multipista;2;10Semilla-10Restart;FPT04;131972;10;194645.00;689.74
Multipista;2;10Semilla-10Restart;FPT05;1156;10;194365.00;668.02
Multipista;2;10Semilla-10Restart;FPT05;1412;10;194365.00;678.75
Multipista;2;10Semilla-10Restart;FPT05;1924;10;194365.00;689.21
Multipista;2;10Semilla-10Restart;FPT05;2948;10;194365.00;693.73
Multipista;2;10Semilla-10Restart;FPT05;4996;10;194365.00;683.30
Multipista;2;10Semilla-10Restart;FPT05;9092;10;194365.00;697.48
Multipista;2;10Semilla-10Restart;FPT05;17284;10;194365.00;675.56
Multipista;2;10Semilla-10Restart;FPT05;33668;10;194365.00;697.46
Multipista;2;10Semilla-10Restart;FPT05;66436;10;194365.00;705.75
Multipista;2;10Semilla-10Restart;FPT05;131972;10;194365.00;679.69
Multipista;2;10Semilla-10Restart;FPT06;1156;10;178397.00;741.43
Multipista;2;10Semilla-10Restart;FPT06;1412;10;178397.00;752.15
Multipista;2;10Semilla-10Restart;FPT06;1924;10;178397.00;763.75
Multipista;2;10Semilla-10Restart;FPT06;2948;10;178397.00;729.67
Multipista;2;10Semilla-10Restart;FPT06;4996;10;178397.00;50560.17
Multipista;2;10Semilla-10Restart;FPT06;9092;10;178397.00;
Multipista;2;10Semilla-10Restart;FPT06;17284;10;178397.00;742.80
Multipista;2;10Semilla-10Restart;FPT06;33668;10;178397.00;762.67
Multipista;2;10Semilla-10Restart;FPT06;66436;10;178397.00;725.59
Multipista;2;10Semilla-10Restart;FPT06;131972;10;178397.00;698.26
Multipista;2;10Semilla-10Restart;FPT07;1156;10;182076.00;750.52
Multipista;2;10Semilla-10Restart;FPT07;1412;10;182076.00;797.48
Multipista;2;10Semilla-10Restart;FPT07;1924;10;182076.00;779.20
Multipista;2;10Semilla-10Restart;FPT07;2948;10;182076.00;771.25
Multipista;2;10Semilla-10Restart;FPT07;4996;10;182076.00;778.24
Multipista;2;10Semilla-10Restart;FPT07;9092;10;182076.00;773.47
Multipista;2;10Semilla-10Restart;FPT07;17284;10;182076.00;737.91
Multipista;2;10Semilla-10Restart;FPT07;33668;10;182076.00;50583.42
Multipista;2;10Semilla-10Restart;FPT07;66436;10;182076.00;
Multipista;2;10Semilla-10Restart;FPT07;131972;10;182076.00;737.61
Multipista;2;10Semilla-10Restart;FPT08;1156;10;160641.00;862.76
Multipista;2;10Semilla-10Restart;FPT08;1412;10;160641.00;827.94
Multipista;2;10Semilla-10Restart;FPT08;1924;10;160641.00;831.61
Multipista;2;10Semilla-10Restart;FPT08;2948;10;160641.00;828.68
Multipista;2;10Semilla-10Restart;FPT08;4996;10;160641.00;886.10
Multipista;2;10Semilla-10Restart;FPT08;9092;10;160641.00;859.44
Multipista;2;10Semilla-10Restart;FPT08;17284;10;160641.00;851.90
Multipista;2;10Semilla-10Restart;FPT08;33668;10;160641.00;812.47
Multipista;2;10Semilla-10Restart;FPT08;66436;10;160641.00;854.73
Multipista;2;10Semilla-10Restart;FPT08;131972;10;160641.00;828.04
Multipista;2;10Semilla-10Restart;FPT09;1156;10;179699.00;781.05
Multipista;2;10Semilla-10Restart;FPT09;1412;10;179699.00;784.81
Multipista;2;10Semilla-10Restart;FPT09;1924;10;179699.00;834.93
Multipista;2;10Semilla-10Restart;FPT09;2948;10;179699.00;772.61
Multipista;2;10Semilla-10Restart;FPT09;4996;10;179699.00;803.66
Multipista;2;10Semilla-10Restart;FPT09;9092;10;179699.00;776.61
Multipista;2;10Semilla-10Restart;FPT09;17284;10;179719.00;755.23
Multipista;2;10Semilla-10Restart;FPT09;33668;10;179719.00;812.57
Multipista;2;10Semilla-10Restart;FPT09;66436;10;179719.00;803.76
Multipista;2;10Semilla-10Restart;FPT09;131972;10;179699.00;785.30
Multipista;2;10Semilla-10Restart;FPT10;1156;10;189005.00;722.01
Multipista;2;10Semilla-10Restart;FPT10;1412;10;189005.00;50575.30
Multipista;2;10Semilla-10Restart;FPT10;1924;10;189005.00;
Multipista;2;10Semilla-10Restart;FPT10;2948;10;189005.00;752.75
Multipista;2;10Semilla-10Restart;FPT10;4996;10;189005.00;776.63
Multipista;2;10Semilla-10Restart;FPT10;9092;10;189005.00;767.29
Multipista;2;10Semilla-10Restart;FPT10;17284;10;189005.00;754.30
Multipista;2;10Semilla-10Restart;FPT10;33668;10;189005.00;756.29
Multipista;2;10Semilla-10Restart;FPT10;66436;10;189005.00;743.08
Multipista;2;10Semilla-10Restart;FPT10;131972;10;189005.00;757.33
Multipista;2;10Semilla-10Restart;FPT11;1156;10;194438.00;775.27
Multipista;2;10Semilla-10Restart;FPT11;1412;10;194438.00;732.02
Multipista;2;10Semilla-10Restart;FPT11;1924;10;194438.00;771.65
Multipista;2;10Semilla-10Restart;FPT11;2948;10;194438.00;697.13
Multipista;2;10Semilla-10Restart;FPT11;4996;10;194438.00;729.80
Multipista;2;10Semilla-10Restart;FPT11;9092;10;194438.00;716.53
Multipista;2;10Semilla-10Restart;FPT11;17284;10;194438.00;716.55
Multipista;2;10Semilla-10Restart;FPT11;33668;10;194438.00;760.99
Multipista;2;10Semilla-10Restart;FPT11;66436;10;194438.00;758.15
Multipista;2;10Semilla-10Restart;FPT11;131972;10;194438.00;732.95
Multipista;2;10Semilla-10Restart;FPT12;1156;10;211461.00;726.07
Multipista;2;10Semilla-10Restart;FPT12;1412;10;211461.00;722.23
Multipista;2;10Semilla-10Restart;FPT12;1924;10;211461.00;743.62
Multipista;2;10Semilla-10Restart;FPT12;2948;10;211461.00;763.48
Multipista;2;10Semilla-10Restart;FPT12;4996;10;211461.00;735.87
Multipista;2;10Semilla-10Restart;FPT12;9092;10;211461.00;714.03
Multipista;2;10Semilla-10Restart;FPT12;17284;10;211461.00;750.69
Multipista;2;10Semilla-10Restart;FPT12;33668;10;211461.00;50583.88
Multipista;2;10Semilla-10Restart;FPT12;66436;10;211461.00;717.94
Multipista;2;10Semilla-10Restart;FPT12;131972;10;211461.00;746.79
Multipista;2;10Semilla-20Restart;FPT01;1156;20;177222.00;809.42
Multipista;2;10Semilla-20Restart;FPT01;1412;20;177222.00;820.31
Multipista;2;10Semilla-20Restart;FPT01;1924;20;177222.00;760.09
Multipista;2;10Semilla-20Restart;FPT01;2948;20;177222.00;796.56
Multipista;2;10Semilla-20Restart;FPT01;4996;20;177222.00;788.84
Multipista;2;10Semilla-20Restart;FPT01;9092;20;177222.00;832.71
Multipista;2;10Semilla-20Restart;FPT01;17284;20;177222.00;788.39
Multipista;2;10Semilla-20Restart;FPT01;33668;20;177222.00;786.38
Multipista;2;10Semilla-20Restart;FPT01;66436;20;177222.00;827.59
Multipista;2;10Semilla-20Restart;FPT01;131972;20;177222.00;752.20
Multipista;2;10Semilla-20Restart;FPT02;1156;20;186436.00;797.04
Multipista;2;10Semilla-20Restart;FPT02;1412;20;186436.00;801.73
Multipista;2;10Semilla-20Restart;FPT02;1924;20;186436.00;818.83
Multipista;2;10Semilla-20Restart;FPT02;2948;20;186436.00;778.20
Multipista;2;10Semilla-20Restart;FPT02;4996;20;186436.00;826.72
Multipista;2;10Semilla-20Restart;FPT02;9092;20;186436.00;811.35
Multipista;2;10Semilla-20Restart;FPT02;17284;20;186436.00;826.19
